               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.061233,            0.013808,            0.029752,             0.40157,             0.79812,             0.46544,             0.17901,            0.019249,           0.0077717,            0.010489,            0.009307,            0.009307,            0.009307
                  37,            0.058636,             0.01487,            0.030287,             0.23116,             0.76566,             0.33437,             0.13005,            0.020335,           0.0066577,            0.010415,           0.0092872,           0.0092872,           0.0092872
                  38,             0.04848,             0.01313,            0.025952,             0.36917,             0.68818,              0.4706,             0.25229,            0.020886,           0.0063775,            0.010619,           0.0092674,           0.0092674,           0.0092674
                  39,            0.057502,            0.014391,            0.029092,             0.45577,             0.82575,             0.61383,             0.15566,            0.022534,           0.0054811,            0.010596,           0.0092476,           0.0092476,           0.0092476
                  40,            0.063403,            0.012593,            0.028284,             0.45472,             0.82331,             0.64941,             0.26346,            0.016715,           0.0061111,            0.010136,           0.0092278,           0.0092278,           0.0092278
                  41,             0.05198,            0.014163,            0.029139,             0.44902,             0.85831,             0.70735,             0.32618,            0.020096,           0.0055379,           0.0098766,            0.009208,            0.009208,            0.009208
                  42,            0.054517,            0.012653,            0.028118,             0.39794,             0.77444,             0.54199,             0.16853,            0.019676,           0.0055237,           0.0094713,           0.0091882,           0.0091882,           0.0091882
                  43,            0.049365,            0.013935,            0.026704,             0.61145,             0.89474,             0.88207,             0.30624,            0.016883,           0.0053772,           0.0090466,           0.0091684,           0.0091684,           0.0091684
                  44,            0.047271,            0.012937,            0.028837,             0.50524,             0.76566,             0.71931,             0.32663,            0.018524,           0.0054748,           0.0087904,           0.0091486,           0.0091486,           0.0091486
                  45,            0.058523,             0.01467,            0.024105,             0.81036,             0.79198,             0.88342,             0.36378,            0.013884,           0.0049109,           0.0081614,           0.0091288,           0.0091288,           0.0091288
                  46,            0.040221,             0.01145,            0.022354,             0.29618,             0.94737,             0.54577,             0.19695,            0.022834,           0.0051533,            0.007769,            0.009109,            0.009109,            0.009109
                  47,            0.064486,            0.011223,            0.024423,             0.69054,             0.84211,             0.88627,             0.56062,            0.016747,           0.0046757,           0.0068011,           0.0090892,           0.0090892,           0.0090892
                  48,            0.048588,            0.015369,            0.019836,             0.45088,             0.94737,             0.67463,             0.28615,            0.017737,           0.0046915,           0.0064898,           0.0090694,           0.0090694,           0.0090694
                  49,            0.056586,            0.015292,            0.020659,             0.76262,             0.80258,              0.9101,             0.46545,            0.013097,           0.0045686,           0.0065677,           0.0090496,           0.0090496,           0.0090496
